Model,Release Date,Release Year,Model ID,RAM Capacity (Mb),Storage (Mb),CPU Clock (MHz),Display Diagonal (in),Display Width(px),Display Length(px),Width (mm),Length (mm),Depth (mm),Volume (cubic cm),Mass (grams),Pixel Density (per inch)
Apple  iPad 3 4G LTE 32GB / New iPad / iPad 3rd generation,1/03/2012,2012,2616,0.499984741,0.499999488,0.499771896,0.575539568,0.583739837,1,0.488949523,0.787704918,0.021167415,0.080701454,0.129741379,0.554265522
Apple  iPad 3 4G LTE 64GB / New iPad / iPad 3rd generation,1/03/2012,2012,2617,0.499984741,1,0.499771896,0.575539568,0.583739837,1,0.488949523,0.787704918,0.021167415,0.080701454,0.129741379,0.554265522
Apple  iPad 3 WiFi 16GB / New iPad / iPad 3rd generation,1/03/2012,2012,2618,0.499984741,0.249999232,0.499771896,0.575539568,0.583739837,1,0.488949523,0.787704918,0.021167415,0.080701454,0.127586207,0.554265522
Apple iPad 3 CDMA 64GB / New iPad / iPad 3rd generation,1/03/2012,2012,2619,0.499984741,1,0.499771896,0.575539568,0.583739837,1,0.488949523,0.787704918,0.021167415,0.080701454,0.129741379,0.554265522
Apple iPhone 4S CT 64GB,1/03/2012,2012,2620,0.249977111,1,0.399726275,0.129496403,0.219512195,0.46031746,0.142155525,0.271311475,0.020525978,0.004004025,0.017241379,0.710752145
Asus Eee Pad MeMO 171 ME370T 16GB,1/03/2012,2012,2621,0.499984741,0.249999232,0.599817517,0.388489209,0.479674797,0.380952381,0.304229195,0.620901639,0.043296985,0.05564953,0.073275862,0.425542655
Gigabyte GSmart G1355,1/03/2012,2012,2622,0.249977111,0.016777517,0.399726275,0.18705036,0.154471545,0.380952381,0.17271487,0.331147541,0.034637588,0.012868552,0.023275862,0.436648157
Huawei Ascend G300 (Huawei U8815),1/03/2012,2012,2623,0.249977111,0.060624562,0.499771896,0.165467626,0.154471545,0.380952381,0.154160982,0.301229508,0.02822322,0.007900991,0.017241379,0.474255427
Huawei Ascend G300 NFC (Huawei U8815N),1/03/2012,2012,2624,0.249977111,0.008388246,0.499771896,0.165467626,0.154471545,0.380952381,0.154160982,0.301229508,0.02822322,0.00901441,0.017241379,0.480060575
Lenovo LePhone S2-38AT0 16GB,1/03/2012,2012,2625,0.499984741,0.249999232,0.499771896,0.151079137,0.154471545,0.380952381,0.145975443,0.299180328,0.030788967,0.010213477,0.017025862,0.436648157
LG F100L Optimus Vu / Optimus Sketch,1/03/2012,2012,2626,0.499984741,0.499999488,0.749885948,0.237410072,0.271544715,0.492063492,0.228922237,0.371311475,0.015394484,0.013532321,0.023275862,0.5340737
LG VS840 Lucid 4G (LG Cayman),1/03/2012,2012,2627,0.499984741,0.125838031,0.599817517,0.165467626,0.154471545,0.380952381,0.151978172,0.27704918,0.033996151,0.008264994,0.016594828,0.474255427
Motorola RAZR IS12M XT909,1/03/2012,2012,2628,0.499984741,0.125838031,0.599817517,0.18705036,0.178861789,0.46031746,0.170259209,0.334836066,0.006414368,0.004239556,0.014439655,0.535840485
Motorola RAZR MAXX XT910 (Motorola Spyder Max),1/03/2012,2012,2629,0.499984741,0.249999232,0.599817517,0.18705036,0.178861789,0.46031746,0.170259209,0.334836066,0.018537524,0.007900991,0.018318966,0.535840485
NEC Medias ES N-05D,1/03/2012,2012,2630,0.499984741,0.062079576,0.749885948,0.18705036,0.25203252,0.619047619,0.165075034,0.331967213,0.003848621,0.003061902,0.010775862,0.751640586
NTT DoCoMo Samsung SC-05D Galaxy Note LTE,1/03/2012,2012,2631,0.499984741,0.249999232,0.749885948,0.258992806,0.284552846,0.619047619,0.208594816,0.40102459,0.022771007,0.015716335,0.025431034,0.60676426
Panasonic LUMIX Phone 102P,1/03/2012,2012,2632,0.499984741,0.249999232,0.499771896,0.18705036,0.178861789,0.46031746,0.156889495,0.303278689,0.010904426,0.003704259,0.009267241,0.535840485
Samsung GT-i9250M Galaxy Nexus (Samsung Yakju),1/03/2012,2012,2633,0.499984741,0.249999232,0.599817517,0.208633094,0.25203252,0.619047619,0.167639836,0.354508197,0.018216806,0.008179346,0.016163793,0.68525997
Samsung GT-P5100 Galaxy Tab 2 10.1 16GB,1/03/2012,2012,2634,0.499984741,0.249999232,0.499771896,0.604316547,0.479674797,0.380952381,0.682673943,0.517622951,0.023091725,0.084020298,0.113793103,0.264512872
Samsung GT-P5100 Galaxy Tab 2 10.1 32GB,1/03/2012,2012,2635,0.499984741,0.499999488,0.499771896,0.604316547,0.479674797,0.380952381,0.682673943,0.517622951,0.023091725,0.084020298,0.113793103,0.264512872
Samsung GT-P7320 Galaxy Tab 8.9 LTE 16GB,1/03/2012,2012,2636,0.499984741,0.250005786,0.599817517,0.517985612,0.479674797,0.380952381,0.612278308,0.445901639,0.01603592,0.057640837,0.085775862,0.316002019
Samsung GT-S5570i Galaxy Mini Plus / Galaxy Pop Plus,1/03/2012,2012,2637,0.187475204,0.008388246,0.415733575,0.100719424,0.056910569,0.142857143,0.147612551,0.251639344,0.038486209,0.007900991,0.01012931,0.209490156
Samsung GT-S6500 Galaxy Mini 2 (Samsung Jena),1/03/2012,2012,2638,0.187475204,0.060624562,0.399726275,0.115107914,0.089430894,0.222222222,0.142155525,0.247540984,0.035279025,0.006487806,0.009762931,0.333165068
Samsung SCH-R760 Galaxy S II CDMA,1/03/2012,2012,2639,0.499984741,0.250005786,0.599817517,0.201438849,0.154471545,0.380952381,0.172169168,0.331147541,0.022771007,0.009228529,0.016163793,0.408884402
Samsung SHV-E150S Galaxy Tab 7.7 LTE M16,1/03/2012,2012,2640,0.499984741,0.250005786,0.749885948,0.431654676,0.479674797,0.380952381,0.518963165,0.344672131,0.011481719,0.034794339,0.061422414,0.384654215
Sony Tablet P (Sony S2),1/03/2012,2012,2641,0.499984741,0.062079576,0.499771896,0.273381295,0.375609756,0.222222222,0.473396999,0.37295082,0.062219371,0.075819541,0.067241379,0.409641595
Sony Xperia acro HD SO-03D (Sony Hikari),1/03/2012,2012,2642,0.499984741,0.249999232,0.755888685,0.18705036,0.25203252,0.619047619,0.162346521,0.31557377,0.037203335,0.011755134,0.019181034,0.751640586
Sony Xperia S LT26 / LT26i / Arc HD (Sony Nozomi),1/03/2012,2012,2643,0.499984741,0.060624562,0.755888685,0.18705036,0.25203252,0.619047619,0.156889495,0.323770492,0.028864657,0.009142882,0.018103448,0.751640586
T-Mobile Samsung SGH-T769 Galaxy S Blaze 4G,1/03/2012,2012,2644,0.499984741,0.060624562,0.749885948,0.165467626,0.154471545,0.380952381,0.154160982,0.29795082,0.032713278,0.008950175,0.015086207,0.481070167
Toshiba Excite 10 LE AT205 32GB,1/03/2012,2012,2645,0.499984741,0.499999488,0.599817517,0.604316547,0.479674797,0.380952381,0.683492497,0.520491803,0.010262989,0.065135002,0.10237069,0.265270066
Xiaomi Mi-One C1 / MI-1 C1,1/03/2012,2012,2646,0.499984741,0.062079576,0.749885948,0.165467626,0.306504065,0.222222222,0.154160982,0.31147541,0.037203335,0.010620303,0.018318966,0.509843513
ZTE Fury N850,1/03/2012,2012,2647,0.249977111,0.062079576,0.499771896,0.129496403,0.089430894,0.222222222,0.152796726,0.283196721,0.037844772,0.009528296,0.017241379,0.30338213
ZTE Score X500 M,1/03/2012,2012,2648,0.249977111,0.062079576,0.299680654,0.129496403,0.089430894,0.222222222,0.151159618,0.258196721,0.050673509,0.011348307,0.01637931,0.30338213
Acer Iconia Tab A510,1/04/2012,2012,2649,0.499984741,0.499999488,0.649840327,0.604316547,0.479674797,0.380952381,0.688949523,0.517622951,0.031109686,0.097017322,0.132543103,0.264512872
Alcatel One Touch OT-985,1/04/2012,2012,2650,0.124973296,0.008388246,0.32469206,0.129496403,0.089430894,0.222222222,0.150995907,0.274590164,0.038806928,0.009228529,0.01637931,0.30338213
Alcatel One Touch OT-985N,1/04/2012,2012,2651,0.124973296,0.008388246,0.32469206,0.129496403,0.089430894,0.222222222,0.150995907,0.274590164,0.038806928,0.009228529,0.01637931,0.30338213
Asus Transformer Pad 300 3G / Eee Pad Transformer Prime TF300TG,1/04/2012,2012,2652,0.499984741,0.249999232,0.599817517,0.604316547,0.479674797,0.380952381,0.699863574,0.540163934,0.024374599,0.091343169,0.13362069,0.264512872
Asus Transformer Pad 300 WiFi / Eee Pad Transformer Prime TF300T,1/04/2012,2012,2653,0.499984741,0.249999232,0.599817517,0.604316547,0.479674797,0.380952381,0.699863574,0.540163934,0.024374599,0.091343169,0.123922414,0.264512872
DataWind Aakash 2 UbiSlate 7+,1/04/2012,2012,2654,0.124973296,0.031878203,0.349703465,0.381294964,0.284552846,0.222222222,0.502046385,0.284836066,0.061577935,0.097188617,0.058189655,0.249116608
Emobile GS03 (Huawei U9200),1/04/2012,2012,2655,0.499984741,0.062079576,0.749885948,0.18705036,0.178861789,0.46031746,0.159072306,0.320901639,0.003720334,0.002355309,0.015086207,0.535840485
HTC Desire VC T328d,1/04/2012,2012,2656,0.249977111,0.062079576,0.499771896,0.165467626,0.154471545,0.380952381,0.152251023,0.288934426,0.021937139,0.005738389,0.012715517,0.474255427
HTC Desire VT T328t,1/04/2012,2012,2657,0.249977111,0.062079576,0.499771896,0.165467626,0.154471545,0.380952381,0.152087312,0.288934426,0.022386145,0.005824037,0.0125,0.474255427
HTC One S Z250E / Z320E / Z520E (HTC Ville),1/04/2012,2012,2658,0.499984741,0.249999232,0.749885948,0.18705036,0.178861789,0.46031746,0.159618008,0.335655738,0.011866581,0.005031797,0.012823276,0.535840485
HTC One V T320e (HTC Primo),1/04/2012,2012,2659,0.249977111,0.062079576,0.499771896,0.143884892,0.154471545,0.380952381,0.145156889,0.292213115,0.020141116,0.004774854,0.011853448,0.524230187
HTC One X LTE / One X X325A (HTC Evita),1/04/2012,2012,2660,0.499984741,0.250005786,0.749885948,0.215827338,0.25203252,0.619047619,0.172987722,0.351639344,0.020525978,0.009314177,0.015086207,0.679202423
HTC One X S720e (HTC Endeavor),1/04/2012,2012,2661,0.499984741,0.499999488,0.749885948,0.215827338,0.25203252,0.619047619,0.172987722,0.349836066,0.017960231,0.008457701,0.016163793,0.679202423
Huawei Ascend P1 (Huawei U9200),1/04/2012,2012,2662,0.499984741,0.062079576,0.749885948,0.18705036,0.178861789,0.46031746,0.159072306,0.320901639,0.010198845,0.004132497,0.010775862,0.535840485
Huawei Ascend P1 S (Huawei U9200S),1/04/2012,2012,2663,0.499984741,0.062079576,0.749885948,0.18705036,0.178861789,0.46031746,0.159072306,0.320901639,0.003720334,0.002355309,0.013577586,0.535840485
Lava Xolo X900 (Intel Black Ray),1/04/2012,2012,2664,0.499984741,0.249999232,0.799908758,0.165467626,0.203252033,0.492063492,0.154160982,0.303278689,0.03136626,0.008800291,0.014439655,0.630994447
Lenovo IdeaTab S2109 16GB,1/04/2012,2012,2665,0.499984741,0.249999232,0.499771896,0.575539568,0.375609756,0.365079365,0.656207367,0.558606557,0.017960231,0.077768023,0.112068966,0.220848057
Lenovo IdeaTab S2109 32GB,1/04/2012,2012,2666,0.499984741,0.499999488,0.499771896,0.575539568,0.375609756,0.365079365,0.656207367,0.558606557,0.017960231,0.077768023,0.112068966,0.220848057
Lenovo IdeaTab S2109 8GB,1/04/2012,2012,2667,0.499984741,0.125838031,0.499771896,0.575539568,0.375609756,0.365079365,0.656207367,0.558606557,0.017960231,0.077768023,0.112068966,0.220848057
LG E610 Optimus L5,1/04/2012,2012,2668,0.249977111,0.062492486,0.399726275,0.165467626,0.089430894,0.222222222,0.163710778,0.284016393,0.024246312,0.007194399,0.012931034,0.250630994
LG P720 Optimus 3D Max / P725 (LG CX2),1/04/2012,2012,2669,0.499984741,0.125838031,0.599817517,0.18705036,0.154471545,0.380952381,0.166166439,0.318852459,0.022450289,0.00811511,0.018965517,0.436648157
LG P720H Optimus 3D Max (LG CX2),1/04/2012,2012,2670,0.499984741,0.125838031,0.599817517,0.18705036,0.154471545,0.380952381,0.166166439,0.318852459,0.022450289,0.00811511,0.018965517,0.436648157
Motorola MOTOLUXE XT390,1/04/2012,2012,2671,0.249977111,0.008388246,0.399726275,0.129496403,0.089430894,0.222222222,0.155525239,0.274590164,0.031430404,0.007900991,0.010775862,0.30338213
NEC Medias 101S,1/04/2012,2012,2672,0.249977111,0.031878203,0.499771896,0.165467626,0.154471545,0.407738095,0.159618008,0.323770492,0.013470173,0.005160268,0.012284483,0.509843513
NEC Medias Tab N-06D LTE,1/04/2012,2012,2673,0.499984741,0.249999232,0.599817517,0.381294964,0.479674797,0.380952381,0.311323329,0.617622951,0.024374599,0.041603323,0.0625,0.431600202
Nokia Lumia 610,1/04/2012,2012,2674,0.124973296,0.125838031,0.399726275,0.143884892,0.154471545,0.380952381,0.151432469,0.286885246,0.037844772,0.009506884,0.015409483,0.524230187
Nokia Lumia 900 (Nokia Ace),1/04/2012,2012,2675,0.249977111,0.249999232,0.699863138,0.18705036,0.154471545,0.380952381,0.169167804,0.32295082,0.034637588,0.012119136,0.021551724,0.436648157
Nokia Lumia 900 4G LTE (Nokia Eloko),1/04/2012,2012,2676,0.249977111,0.249999232,0.699863138,0.18705036,0.154471545,0.380952381,0.169167804,0.32295082,0.034637588,0.012119136,0.021551724,0.436648157
Panasonic ELUGA dL1,1/04/2012,2012,2677,0.499984741,0.125838031,0.499771896,0.18705036,0.178861789,0.46031746,0.151432469,0.303278689,0.010904426,0.003297433,0.009267241,0.535840485
Samsung GT-i9070 Galaxy S Advance 16GB,1/04/2012,2012,2678,0.374980926,0.249999232,0.499771896,0.165467626,0.154471545,0.380952381,0.154160982,0.304098361,0.023027582,0.006659101,0.012931034,0.481322564
Samsung GT-P3100 Galaxy Tab 2 7.0 32GB,1/04/2012,2012,2679,0.499984741,0.499999488,0.499771896,0.381294964,0.375609756,0.281746032,0.510777626,0.300819672,0.02822322,0.043851573,0.061206897,0.315497224
Samsung GT-P3110 Galaxy Tab 2 7.0 WiFi 16GB,1/04/2012,2012,2680,0.499984741,0.499999488,0.499771896,0.381294964,0.375609756,0.281746032,0.510777626,0.300819672,0.02822322,0.043851573,0.061206897,0.315497224
Samsung GT-S5690M Galaxy Rugby,1/04/2012,2012,2681,0.249977111,0.008388246,0.399726275,0.136690647,0.089430894,0.222222222,0.16207367,0.297131148,0.037524054,0.011048541,0.016271552,0.286976275
Samsung GT-S6500D Galaxy Mini 2 (Samsung Jena),1/04/2012,2012,2682,0.187475204,0.060624562,0.399726275,0.115107914,0.089430894,0.222222222,0.142155525,0.247540984,0.037203335,0.006894632,0.010086207,0.333165068
Samsung GT-S7508 Galaxy Ace Plus,1/04/2012,2012,2683,0.187475204,0.062079576,0.399726275,0.136690647,0.089430894,0.222222222,0.152796726,0.269262295,0.032713278,0.007751108,0.011918103,0.286976275
Samsung SGH-i847 Rugby Smart,1/04/2012,2012,2684,0.249977111,0.060624562,0.699863138,0.136690647,0.154471545,0.380952381,0.16207367,0.300819672,0.039127646,0.011626662,0.014008621,0.533064109
Sony Xperia acro HD IS12S (Sony Hayate),1/04/2012,2012,2685,0.499984741,0.249999232,0.755888685,0.18705036,0.25203252,0.619047619,0.162346521,0.31557377,0.037203335,0.011755134,0.019396552,0.751640586
T-Mobile HTC One S (HTC Ville),1/04/2012,2012,2686,0.499984741,0.249999232,0.749885948,0.18705036,0.178861789,0.46031746,0.159618008,0.335655738,0.011866581,0.005031797,0.012823276,0.535840485
Yarvik GoTab Velocity TAB264,1/04/2012,2012,2687,0.249977111,0.062079576,0.599817517,0.381294964,0.284552846,0.222222222,0.503410641,0.299180328,0.04425914,0.055413999,0.065732759,0.22387683
Yarvik GoTab Xerios TAB461EUK,1/04/2012,2012,2688,0.249977111,0.125838031,0.599817517,0.597122302,0.375609756,0.281746032,0.699863574,0.471311475,0.050673509,0.119842408,0.134051724,0.18753155
Yarvik GoTab Zetta TAB468EUK,1/04/2012,2012,2689,0.499984741,0.249999232,0.599817517,0.575539568,0.375609756,0.365079365,0.648021828,0.581967213,0.025016036,0.090336809,0.128232759,0.22160525
ZTE Orbit,1/04/2012,2012,2690,0.124973296,0.060624562,0.499771896,0.165467626,0.154471545,0.380952381,0.155525239,0.290983607,0.029506094,0.008008051,0.016594828,0.474255427
Alcatel One Touch OT-916,1/05/2012,2012,2691,0.124973296,0.008388246,0.32469206,0.064748201,0.089430894,0.103174603,0.159072306,0.278688525,0.035279025,0.009378413,0.014396552,0.276375568
Alcatel One Touch OT-916D,1/05/2012,2012,2692,0.124973296,0.008388246,0.32469206,0.064748201,0.089430894,0.103174603,0.159072306,0.278688525,0.035279025,0.009378413,0.014396552,0.276375568
Alcatel One Touch OT-985D,1/05/2012,2012,2693,0.124973296,0.008388246,0.32469206,0.129496403,0.089430894,0.222222222,0.150995907,0.274590164,0.038806928,0.009228529,0.01637931,0.30338213
Alcatel One Touch OT-995 Ultra,1/05/2012,2012,2694,0.249977111,0.031878203,0.699863138,0.18705036,0.154471545,0.380952381,0.167803547,0.319672131,0.023412444,0.008586172,0.013793103,0.436648157
HTC Desire C NFC A320e (HTC Golf),1/05/2012,2012,2695,0.249977111,0.062079576,0.299680654,0.129496403,0.089430894,0.222222222,0.147612551,0.23852459,0.037524054,0.007172987,0.008189655,0.30338213
HTC One XL AU X325E / X325S / Edge (HTC Evita),1/05/2012,2012,2696,0.499984741,0.249999232,0.749885948,0.215827338,0.25203252,0.619047619,0.172987722,0.351639344,0.017960231,0.008521936,0.01487069,0.679202423
Huawei Ascend C8812,1/05/2012,2012,2697,0.249977111,0.062079576,0.499771896,0.165467626,0.154471545,0.380952381,0.153233288,0.300409836,0.033932008,0.009249941,0.016163793,0.480060575
Huawei Ascend G305T (Huawei T8828),1/05/2012,2012,2698,0.249977111,0.062079576,0.499771896,0.165467626,0.154471545,0.380952381,0.153888131,0.300409836,0.033996151,0.009335589,0.014439655,0.474255427
KDDI HTC J ISW13HT (HTC Nippon),1/05/2012,2012,2699,0.499984741,0.249999232,0.755888685,0.18705036,0.178861789,0.46031746,0.162346521,0.338114754,0.032713278,0.011369719,0.017672414,0.535840485
KDDI Urbano Progresso au KYY04,1/05/2012,2012,2700,0.499984741,0.062079576,0.699863138,0.165467626,0.154471545,0.380952381,0.156889495,0.31147541,0.03014753,0.009057234,0.017025862,0.480060575
LG F-160L Optimus LTE 2 / LTE2,1/05/2012,2012,2701,1,0.249999232,0.755888685,0.215827338,0.25203252,0.619047619,0.171896317,0.351229508,0.017960231,0.008393465,0.018318966,0.679202423
LG F-160S Optimus LTE2,1/05/2012,2012,2702,1,0.249999232,0.755888685,0.215827338,0.25203252,0.619047619,0.171896317,0.351229508,0.017960231,0.008393465,0.018318966,0.679202423
LG P936 Optimus True HD LTE,1/05/2012,2012,2703,0.499984741,0.060624562,0.749885948,0.201438849,0.25203252,0.619047619,0.167530696,0.34795082,0.028094933,0.010962893,0.016163793,0.711761736
LG P940H Prada 3.0 (LG K2),1/05/2012,2012,2704,0.499984741,0.008388246,0.503773721,0.18705036,0.154471545,0.380952381,0.17053206,0.321721311,0.015394484,0.006573454,0.016810345,0.436648157
LG SU870 Optimus 3D Cube / Optimus 3D 2 (LG CX2),1/05/2012,2012,2705,0.499984741,0.249999232,0.599817517,0.18705036,0.154471545,0.380952381,0.166166439,0.318852459,0.022450289,0.00811511,0.018965517,0.435890964
Motorola Motosmart Mix XT550,1/05/2012,2012,2706,0.249977111,0.008388246,0.399726275,0.165467626,0.089430894,0.222222222,0.165839018,0.282786885,0.037203335,0.010791598,0.015409483,0.254164563
Nokia 808 PureView / 803,1/05/2012,2012,2707,0.249977111,0.016777517,0.649840327,0.165467626,0.105691057,0.301587302,0.146521146,0.306967213,0.076010263,0.019227887,0.023491379,0.354114084
Panasonic Toughpad FZ-A1,1/05/2012,2012,2708,0.499984741,0.255032794,0.599817517,0.604316547,0.375609756,0.365079365,0.709959072,0.663114754,0.069916613,0.195190887,0.192349138,0.208480565
Prestigio MultiPad 5080 PMP5080C PRO,1/05/2012,2012,2709,0.499984741,0.125838031,0.499771896,0.45323741,0.203252033,0.380952381,0.399727149,0.631147541,0.031430404,0.063700405,0.092672414,0.203685008
RIM BlackBerry Curve 9320 SKU1 (RIM Armstrong),1/05/2012,2012,2710,0.249977111,0.008388246,0.402727644,0.050359712,0.089430894,0.103174603,0.145975443,0.245901639,0.04233483,0.008350641,0.009267241,0.301615346
RIM BlackBerry Curve 9320 SKU2 (RIM Armstrong),1/05/2012,2012,2711,0.249977111,0.008388246,0.402727644,0.050359712,0.089430894,0.103174603,0.145975443,0.245901639,0.04233483,0.008350641,0.009267241,0.301615346
Samsung GT-i8160 Galaxy Ace 2,1/05/2012,2012,2712,0.374980926,0.062079576,0.399726275,0.151079137,0.154471545,0.380952381,0.151978172,0.284016393,0.02822322,0.007108751,0.013362069,0.510853104
Samsung GT-i9070P Galaxy S Advance NFC,1/05/2012,2012,2713,0.374980926,0.249999232,0.499771896,0.165467626,0.154471545,0.380952381,0.154160982,0.304098361,0.023027582,0.006659101,0.012931034,0.481322564
Samsung GT-i9210T Galaxy S II 4G AU (Samsung Celox),1/05/2012,2012,2714,0.499984741,0.000243117,0.749885948,0.201438849,0.154471545,0.380952381,0.169986357,0.331147541,0.022065427,0.008800291,0.015517241,0.408884402
Samsung GT-i9300 Galaxy S III 16GB / Galaxy S3,1/05/2012,2012,2715,0.499984741,0.250005786,0.699863138,0.223021583,0.25203252,0.619047619,0.174897681,0.359016393,0.01603592,0.008307817,0.015732759,0.659767794
Samsung GT-i9300 Galaxy S III 32GB,1/05/2012,2012,2716,0.499984741,0.499999488,0.699863138,0.223021583,0.25203252,0.619047619,0.174897681,0.359016393,0.01603592,0.008307817,0.015732759,0.659767794
Samsung GT-P5110 Galaxy Tab 2 10.1 WiFi 16GB,1/05/2012,2012,2717,0.499984741,0.249999232,0.499771896,0.604316547,0.479674797,0.380952381,0.682673943,0.517622951,0.023091725,0.084020298,0.112284483,0.264512872
Samsung SCH-S720C Galaxy Proclaim,1/05/2012,2012,2718,0.249977111,0.033556057,0.499771896,0.129496403,0.089430894,0.222222222,0.145156889,0.267622951,0.035920462,0.007644049,0.011637931,0.30338213
Samsung SGH-i667 Focus 2 (Samsung Mandel),1/05/2012,2012,2719,0.249977111,0.125838031,0.699863138,0.165467626,0.154471545,0.380952381,0.153342428,0.29795082,0.031302117,0.008500525,0.013362069,0.480060575
Samsung SPH-L700 Galaxy Nexus 4G LTE (Samsung Prime),1/05/2012,2012,2720,0.499984741,0.499999488,0.599817517,0.208633094,0.25203252,0.619047619,0.167639836,0.354508197,0.021616421,0.009228529,0.018103448,0.68525997
Samsung YP-GI1CW / YP-GI1CB / Galaxy Player 4.2 / Galaxy S WiFi 4.2 8GB,1/05/2012,2012,2721,0.249977111,0.125838031,0.499771896,0.179856115,0.154471545,0.380952381,0.162619372,0.307786885,0.017960231,0.006188039,0.0125,0.45229682
Samsung YP-GI1EW / YP-GI1EB Galaxy Player 4.2 16GB,1/05/2012,2012,2722,0.249977111,0.249999232,0.499771896,0.179856115,0.154471545,0.380952381,0.162619372,0.307786885,0.017960231,0.006188039,0.0125,0.45229682
Sharp SH330U,1/05/2012,2012,2723,0.124973296,0.008388246,0.299680654,0.129496403,0.089430894,0.222222222,0.142974079,0.270491803,0.04233483,0.008971586,0.012931034,0.30338213
Sony Xperia P LT22 / LT22i (Sony Nyphon),1/05/2012,2012,2724,0.499984741,0.000243117,0.499771896,0.165467626,0.178861789,0.46031746,0.144611187,0.299180328,0.02822322,0.00687322,0.012931034,0.587077234
Sony Xperia Sola MT27 / MT27i (Sony Pepper),1/05/2012,2012,2725,0.249977111,0.125838031,0.499771896,0.143884892,0.154471545,0.407738095,0.14324693,0.274590164,0.024374599,0.00507462,0.01012931,0.556032307
Sony Xperia U ST25 / ST25i (Sony Kumquat),1/05/2012,2012,2726,0.249977111,0.125838031,0.499771896,0.129496403,0.154471545,0.407738095,0.129604366,0.258196721,0.037844772,0.006102392,0.010775862,0.593639576
Sony Xperia U ST25a (Sony Kumquat),1/05/2012,2012,2727,0.249977111,0.125838031,0.499771896,0.129496403,0.154471545,0.407738095,0.129604366,0.258196721,0.037844772,0.006102392,0.010775862,0.593639576
Sprint HTC EVO 4G LTE / EVO One (HTC Jet),1/05/2012,2012,2728,0.499984741,0.249999232,0.749885948,0.215827338,0.25203252,0.619047619,0.170504775,0.351639344,0.01847338,0.008436289,0.015948276,0.679202423
T-Mobile Prism U8651 (Huawei Astro),1/05/2012,2012,2729,0.249977111,0.031878203,0.299680654,0.129496403,0.089430894,0.222222222,0.1473397,0.275819672,0.039127646,0.008928763,0.012931034,0.30338213
ZTE Skate Kis,1/05/2012,2012,2730,0.249977111,0.008388246,0.399726275,0.129496403,0.089430894,0.222222222,0.152796726,0.268442623,0.034637588,0.011305484,0.018965517,0.436648157
Acer Iconia Tab A510 Olympic Edition,1/06/2012,2012,2731,0.499984741,0.499999488,0.649840327,0.604316547,0.479674797,0.380952381,0.688949523,0.517622951,0.031109686,0.097017322,0.132543103,0.264512872
Acer Iconia Tab A700 32GB,1/06/2012,2012,2732,0.499984741,0.499999488,0.649840327,0.604316547,0.739837398,0.579365079,0.691132333,0.516393443,0.030788967,0.096674732,0.130818966,0.452801615
Alcatel One Touch OT-986,1/06/2012,2012,2733,0.499984741,0.125838031,0.749885948,0.201438849,0.25203252,0.619047619,0.173260573,0.340163934,0.023412444,0.009849474,0.018965517,0.713780919
Alcatel One Touch OT-991,1/06/2012,2012,2734,0.124973296,0.008388246,0.399726275,0.165467626,0.089430894,0.222222222,0.167803547,0.299180328,0.03014753,0.009742415,0.01549569,0.254164563
Asus Padfone,1/06/2012,2012,2735,0.499984741,0.249999232,0.755888685,0.18705036,0.178861789,0.46031746,0.160709413,0.323770492,0.019884541,0.008864527,0.016163793,0.679202423
Asus Padfone A66 32GB,1/06/2012,2012,2736,0.499984741,0.499999488,0.755888685,0.18705036,0.178861789,0.46031746,0.160709413,0.323770492,0.019884541,0.007044515,0.01487069,0.535840485
Asus Padfone A66 64GB,1/06/2012,2012,2737,0.499984741,1,0.755888685,0.18705036,0.178861789,0.46031746,0.160709413,0.323770492,0.019884541,0.010470419,0.017456897,1
Hannspree HANNS pad SN-70T3,1/06/2012,2012,2738,0.249977111,0.062079576,0.499771896,0.381294964,0.284552846,0.222222222,0.609822647,0.413934426,0.02822322,0.068132668,0.068965517,0.22387683
HTC One S Z560E (HTC Ville C),1/06/2012,2012,2739,0.499984741,0.249999232,0.849931569,0.18705036,0.178861789,0.46031746,0.159618008,0.335655738,0.011866581,0.005031797,0.012823276,0.535840485
HTC One XL EU / Edge (HTC Evita),1/06/2012,2012,2740,0.499984741,0.499999488,0.749885948,0.215827338,0.25203252,0.619047619,0.172987722,0.351639344,0.017960231,0.008521936,0.01487069,0.679202423
HTC One XT S720t (HTC Supreme),1/06/2012,2012,2741,0.499984741,0.499999488,0.749885948,0.215827338,0.25203252,0.619047619,0.172987722,0.349836066,0.017960231,0.008457701,0.015086207,0.679202423
Huawei Activa 4G (Huawei M920),1/06/2012,2012,2742,0.249977111,0.016777517,0.399726275,0.129496403,0.089430894,0.222222222,0.150068213,0.299180328,0.029506094,0.007751108,0.017241379,0.30338213
Huawei Ascend D1 (Huawei U9500),1/06/2012,2012,2743,0.499984741,0.125838031,0.749885948,0.201438849,0.25203252,0.619047619,0.156889495,0.327868852,0.017960231,0.006295099,0.015086207,0.713780919
KDDI Sharp Aquos Phone Serie ISW16SH,1/06/2012,2012,2744,0.499984741,0.249999232,0.749885948,0.208633094,0.25203252,0.619047619,0.162346521,0.31557377,0.032713278,0.010491831,0.01637931,0.692579505
LG P880 Optimus 4X HD (LG X3),1/06/2012,2012,2745,0.499984741,0.249999232,0.749885948,0.215827338,0.25203252,0.619047619,0.168076398,0.341803279,0.019820398,0.008307817,0.017456897,0.679202423
